cliente,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
DAVI RODRIGUES,nutella,iogurte,vinho,,,,,,,,,,,,,,,
VANESSA MASSI,sabão,tomate,carne moída,verduras,,,,,,,,,,,,,,
WEMERSON DEMARQUE,frutas,arroz,feijão,frango,,,,,,,,,,,,,,
MAYCON OLIVEIRA,salada,alface,tomate,azeite,vinagre,granola,cenoura,,,,,,,,,,,
JOÃO COSTA,castanhas,torrada,,,,,,,,,,,,,,,,
FILIPE CARDOSO,sorvete,achocolatado,cerveja artesanal,mel,,,,,,,,,,,,,,
MAYCON CARDOSO,cenoura,gelatina,,,,,,,,,,,,,,,,
PEDRO DEMARQUE,mostarda,chocolate,sorvete,leite,vinagre,cebola,castanhas,maionese,pudim,tomate,,,,,,,,
LUIZ SILVA,peito de peru,desinfetante,castanhas,frutas,cenoura,kiwi,,,,,,,,,,,,
ALYSON SILVA,suco de laranja,pão,bolo,molho branco,gelatina,alho,,,,,,,,,,,,
JOÃO OLIVEIRA,sabão,ervilha,sorvete,batata frita,sal,nhoque,cenoura,gelatina,molho de tomate,patê,batata,frango,,,,,,
GUSTAVO LIMA,granola,espumante,salada,alface,,,,,,,,,,,,,,
OTÁVIO NÁPOLES,tomate,sabão,patê,sal,palmito,iogurte,óleo de soja,vinagre,,,,,,,,,,
ALYSON CRUZ,pão,manteiga,,,,,,,,,,,,,,,,
WEMERSON SOARES,tempero pronto,café,açúcar,bolo,mel,,,,,,,,,,,,,
SERGIO RODRIGUES,manteiga,hambúrguer,batata frita,catchup,molho branco,cereal,queijo,alho,mostarda,espumante,geleia,maçã,,,,,,
SÁVIO LIMA,uva,suco de laranja,pão,manteiga,bolo,queijo ralado,,,,,,,,,,,,
OTÁVIO SOARES,lasanha,bolo,,,,,,,,,,,,,,,,
ALYSON NÁPOLES,cerveja,picanha,,,,,,,,,,,,,,,,
FILIPE CRUZ,detergente,pudim,,,,,,,,,,,,,,,,
JOÃO BANDEIRA,papel higiênico,cerveja,picanha,carvão,salsicha,pepino,,,,,,,,,,,,
ALYSON RODRIGUES,presunto,leite,vinho tinto,limão,leite,cenoura,água de coco,sorvete,,,,,,,,,,
OTÁVIO NÁPOLES,molho branco,granola,uva,linguiça,iogurte,,,,,,,,,,,,,
DAVI CARDOSO,castanhas,maçã,,,,,,,,,,,,,,,,
OTÁVIO CRUZ,vodka,papel higiênico,sabão,chocolate,sorvete,,,,,,,,,,,,,
JÚLIO DEMARQUE,sardinha enlatada,banana,,,,,,,,,,,,,,,,
FILIPE SOARES,biscoito,nhoque,verduras,biscoito,alface,cenoura,kiwi,picanha,uva,,,,,,,,,
GABRIEL COSTA,leite,molho de tomate,amendoim,,,,,,,,,,,,,,,
DANIEL SANTOS,milho verde,presunto,,,,,,,,,,,,,,,,
GABRIEL SANTOS,iogurte,batata,chá,,,,,,,,,,,,,,,
DAVI RODRIGUES,tempero pronto,água tônica,sorvete,azeite,maçã,arroz,,,,,,,,,,,,
FILIPE CRUZ,molho de tomate,tempero pronto,,,,,,,,,,,,,,,,
DAVI NÁPOLES,água tônica,pudim,picanha,banana,molho branco,limão,feijão,,,,,,,,,,,
PEDRO COSTA,cerveja,picanha,carvão,salsicha,,,,,,,,,,,,,,
VICTOR DEMARQUE,azeitona,espumante,pizza,refrigerante,cerveja artesanal,,,,,,,,,,,,,
ALYSON NÁPOLES,mostarda,gelatina,sopa pronta,leite,,,,,,,,,,,,,,
VANESSA MASSI,carvão,picanha,cerveja,salsicha,vodka,tempero pronto,vinho,queijo,presunto,sorvete,suco de laranja,pão,,,,,,
GUSTAVO DEMARQUE,geleia,sopa pronta,filé de frango,salada,,,,,,,,,,,,,,
DANIEL NETO,sopa pronta,tomate,farinha de mandioca,açúcar,feijão,óleo de soja,patê,,,,,,,,,,,
MAYCON OLIVEIRA,sal,azeitona,pepino,palmito,açúcar,achocolatado,milho verde,pão,manteiga,queijo,presunto,geleia,limão,,,,,
ALYSON NETO,cerveja artesanal,suco,ervilha,patê,papel higiênico,chocolate,,,,,,,,,,,,
MAYCON BANDEIRA,peito de peru,maçã,sopa pronta,sopa pronta,vodka,torrada,farinha de mandioca,bisnaguinha,frango,feijão,salada,,,,,,,
JÚLIO NÁPOLES,açúcar,pizza,refrigerante,cerveja artesanal,patê,,,,,,,,,,,,,
GUSTAVO CARDOSO,cerveja artesanal,vinho tinto,queijo,presunto,pão,cerveja artesanal,milho verde,,,,,,,,,,,
JOÃO CARDOSO,pudim,ervilha,,,,,,,,,,,,,,,,
PEDRO BANDEIRA,presunto,tomate,,,,,,,,,,,,,,,,
JÚLIO CRUZ,peito de peru,pão,,,,,,,,,,,,,,,,
SERGIO SILVA,sopa pronta,iogurte,bolo,whisky,,,,,,,,,,,,,,
JÚLIO CARDOSO,lasanha,nhoque,desinfetante,kiwi,chocolate,sorvete,,,,,,,,,,,,
SÁVIO BANDEIRA,alface,bolo,,,,,,,,,,,,,,,,
GUSTAVO RODRIGUES,mostarda,granola,,,,,,,,,,,,,,,,
VANESSA MASSI,abacaxi,torrada,,,,,,,,,,,,,,,,
SÁVIO BANDEIRA,chá,laranja,água tônica,cogumelo,ervilha,salada,alface,tomate,vinagre,frango,arroz,água tônica,,,,,,
JOÃO NETO,sopa pronta,linguiça,biscoito,laranja,nhoque,,,,,,,,,,,,,
MAYCON RODRIGUES,vinho branco,queijo,,,,,,,,,,,,,,,,
DAVI RODRIGUES,linguiça,geleia,farinha de trigo,cerveja artesanal,,,,,,,,,,,,,,
JÚLIO NETO,alho,detergente,energético,alho,,,,,,,,,,,,,,
DANIEL OLIVEIRA,óleo de soja,suco,,,,,,,,,,,,,,,,
LUIZ SOARES,bolo,pão,manteiga,queijo,presunto,geleia,filé de frango,arroz,feijão,,,,,,,,,
DANIEL LIMA,milho verde,macarrão,sardinha enlatada,,,,,,,,,,,,,,,
OTÁVIO NETO,leite,mostarda,linguiça,carvão,picanha,,,,,,,,,,,,,
SERGIO NETO,farinha de trigo,iogurte,nhoque,carvão,,,,,,,,,,,,,,
MAYCON OLIVEIRA,molho branco,pepino,bisnaguinha,bolo,achocolatado,,,,,,,,,,,,,
DAVI NÁPOLES,lasanha,energético,cogumelo,arroz,salada,laranja,farinha de mandioca,leite,,,,,,,,,,
SERGIO OLIVEIRA,vinho,presunto,queijo ralado,laranja,banana,energético,patê,,,,,,,,,,,
FILIPE RODRIGUES,farinha de trigo,detergente,leite,,,,,,,,,,,,,,,
VICTOR RODRIGUES,tempero pronto,pudim,castanhas,banana,banana,sorvete,queijo,pimenta,queijo ralado,óleo de soja,,,,,,,,
DANIEL SILVA,farinha de mandioca,picanha,banana,vinho tinto,queijo,presunto,pão,mostarda,salsicha,batata,,,,,,,,
OTÁVIO COSTA,lasanha,salada,,,,,,,,,,,,,,,,
VICTOR SILVA,detergente,queijo ralado,,,,,,,,,,,,,,,,
JÚLIO LIMA,vinho tinto,queijo,,,,,,,,,,,,,,,,
DAVI DEMARQUE,sorvete,feijão,cereal,biscoito,salada,alface,tomate,cenoura,azeite,vinagre,,,,,,,,
LUIZ SANTOS,sal,pizza,refrigerante,chocolate,,,,,,,,,,,,,,
MAYCON LIMA,tomate,água tônica,,,,,,,,,,,,,,,,
MAYCON OLIVEIRA,desinfetante,cereal,bisnaguinha,azeitona,,,,,,,,,,,,,,
GABRIEL MASSI,limão,sardinha enlatada,alface,verduras,,,,,,,,,,,,,,
SERGIO OLIVEIRA,chá,detergente,presunto,farinha de trigo,,,,,,,,,,,,,,
SÁVIO NÁPOLES,picanha,torrada,,,,,,,,,,,,,,,,
GUSTAVO MASSI,cerveja artesanal,verduras,,,,,,,,,,,,,,,,
MAYCON LIMA,biscoito,sopa pronta,lasanha,amendoim,,,,,,,,,,,,,,
GUSTAVO CRUZ,batata,vinho branco,pão,bolo,espumante,açúcar,carne moída,massa de pizza,energético,,,,,,,,,
MAYCON OLIVEIRA,refrigerante,pizza,cerveja artesanal,papel higiênico,óleo de soja,frango,feijão,cenoura,macarrão,,,,,,,,,
ALYSON NÁPOLES,refrigerante,alho,torrada,água tônica,nhoque,manteiga,carne moída,mostarda,,,,,,,,,,
GABRIEL COSTA,tomate,sal,manga,bisnaguinha,salsicha,patê,,,,,,,,,,,,
DAVI CARDOSO,vodka,sorvete,,,,,,,,,,,,,,,,
JOÃO MASSI,amendoim,abacaxi,uva,maionese,azeite,sal,chá,iogurte,suco,mel,bisnaguinha,,,,,,,
WEMERSON RODRIGUES,vinho,queijo,pão,azeitona,sopa pronta,molho branco,chocolate,sorvete,,,,,,,,,,
GABRIEL CARDOSO,morango,bisnaguinha,vodka,,,,,,,,,,,,,,,
PEDRO SOARES,kiwi,whisky,,,,,,,,,,,,,,,,
GUSTAVO SOARES,azeitona,bisnaguinha,picanha,mel,cereal,,,,,,,,,,,,,
PEDRO CRUZ,pudim,carne moída,carne moída,desinfetante,molho pesto,,,,,,,,,,,,,
GUSTAVO BANDEIRA,manteiga,energético,,,,,,,,,,,,,,,,
ALYSON MASSI,água de coco,torrada,hambúrguer,batata frita,catchup,mostarda,açúcar,patê,maionese,peixe,,,,,,,,
VANESSA MASSI,abacaxi,leite,,,,,,,,,,,,,,,,
GABRIEL COSTA,manga,sabão,linguiça,lasanha,espumante,,,,,,,,,,,,,
FILIPE MASSI,água tônica,whisky,,,,,,,,,,,,,,,,
SERGIO BANDEIRA,maçã,molho de tomate,mostarda,morango,,,,,,,,,,,,,,
MAYCON BANDEIRA,abacaxi,feijão,azeite,torrada,abacaxi,farinha de trigo,carvão,picanha,,,,,,,,,,
LUIZ CARDOSO,pudim,mostarda,patê,nhoque,palmito,,,,,,,,,,,,,
OTÁVIO COSTA,vinho tinto,presunto,,,,,,,,,,,,,,,,
SÁVIO OLIVEIRA,abacaxi,suco de laranja,,,,,,,,,,,,,,,,
SÁVIO COSTA,azeitona,papel higiênico,macarrão,,,,,,,,,,,,,,,
ALYSON BANDEIRA,bolo,feijão,filé de frango,,,,,,,,,,,,,,,
OTÁVIO BANDEIRA,bolo,salada,alface,tomate,cenoura,azeite,vinagre,,,,,,,,,,,
JOÃO RODRIGUES,pudim,sardinha enlatada,cogumelo,picanha,whisky,vinho branco,presunto,pão,bolo,,,,,,,,,
JOÃO MASSI,tempero pronto,molho branco,,,,,,,,,,,,,,,,
SERGIO RODRIGUES,abacaxi,massa de pizza,chocolate,sorvete,leite,pepino,água tônica,,,,,,,,,,,
PEDRO SANTOS,farinha de trigo,vinagre,,,,,,,,,,,,,,,,
WEMERSON RODRIGUES,café,açúcar,leite,bolo,molho branco,torrada,farinha de trigo,nhoque,vinho,,,,,,,,,
SÁVIO LIMA,linguiça,molho pesto,sorvete,,,,,,,,,,,,,,,
JÚLIO CRUZ,farinha de mandioca,pepino,tomate,pimenta,molho de tomate,farinha de mandioca,,,,,,,,,,,,
PEDRO OLIVEIRA,milho verde,ervilha,pepino,macarrão,sabão,barra de cereal,cenoura,sal,pepino,água de coco,,,,,,,,
VANESSA LIMA,água tônica,frutas,,,,,,,,,,,,,,,,
WEMERSON CRUZ,abacaxi,maionese,peito de peru,vinho,queijo,,,,,,,,,,,,,
ALYSON COSTA,batata,abacaxi,carvão,picanha,cerveja,salsicha,vodka,arroz,feijão,salada,,,,,,,,
OTÁVIO MASSI,laranja,nhoque,laranja,água de coco,água tônica,sorvete,chocolate,,,,,,,,,,,
LUIZ SILVA,leite,morango,sabão,óleo de soja,nutella,peito de peru,carvão,picanha,salsicha,vodka,azeitona,achocolatado,,,,,,
DAVI SOARES,geleia,bolo,castanhas,,,,,,,,,,,,,,,
JÚLIO SANTOS,maçã,abacaxi,suco,limão,chá,frutas,leite,queijo,,,,,,,,,,
VANESSA COSTA,gelatina,vinho,queijo,pão,molho branco,cerveja artesanal,limão,,,,,,,,,,,
MAYCON SOARES,uva,amendoim,uva,kiwi,desinfetante,,,,,,,,,,,,,
ALYSON RODRIGUES,peixe,sabão,,,,,,,,,,,,,,,,
ALYSON DEMARQUE,hambúrguer,batata frita,cerveja,catchup,mostarda,,,,,,,,,,,,,
MAYCON DEMARQUE,salada,tomate,azeite,bisnaguinha,espumante,azeite,sorvete,gelatina,morango,salsicha,ervilha,,,,,,,
OTÁVIO NÁPOLES,atum enlatado,macarrão,linguiça,maçã,sorvete,sardinha enlatada,peixe,tempero pronto,açúcar,,,,,,,,,
DAVI BANDEIRA,azeite,frango,arroz,feijão,atum enlatado,chocolate,,,,,,,,,,,,
MAYCON SILVA,salada,alface,cenoura,,,,,,,,,,,,,,,
FILIPE SANTOS,refrigerante,linguiça,,,,,,,,,,,,,,,,
OTÁVIO CRUZ,lasanha,desinfetante,cereal,bisnaguinha,,,,,,,,,,,,,,
ALYSON CARDOSO,lasanha,pudim,,,,,,,,,,,,,,,,
DAVI BANDEIRA,frutas,salsicha,verduras,,,,,,,,,,,,,,,
GUSTAVO LIMA,cogumelo,milho verde,maionese,morango,vinho,queijo,presunto,pão,,,,,,,,,,
PEDRO SANTOS,manga,uva,banana,água tônica,pudim,sal,carne moída,bolo,molho de tomate,,,,,,,,,
VANESSA BANDEIRA,macarrão,bolo,cerveja artesanal,abacaxi,alface,azeite,detergente,chá,,,,,,,,,,
GABRIEL SANTOS,batata,detergente,filé de frango,arroz,feijão,abacaxi,,,,,,,,,,,,
SERGIO OLIVEIRA,mostarda,arroz,feijão,,,,,,,,,,,,,,,
GUSTAVO CRUZ,pudim,farinha de mandioca,nhoque,sorvete,salsicha,espumante,,,,,,,,,,,,
JÚLIO CRUZ,desinfetante,maionese,,,,,,,,,,,,,,,,
LUIZ CRUZ,cereal,cereal,chocolate,sorvete,leite,cerveja,carvão,salsicha,,,,,,,,,,
JÚLIO NÁPOLES,limão,peixe,,,,,,,,,,,,,,,,
ALYSON SANTOS,sabão,tempero pronto,pudim,arroz,feijão,frango,salada,picanha,peixe,,,,,,,,,
GABRIEL SANTOS,amendoim,desinfetante,,,,,,,,,,,,,,,,
LUIZ MASSI,óleo de soja,carvão,picanha,cerveja,salsicha,vodka,arroz,feijão,salada,sal,vinagre,presunto,,,,,,
PEDRO SOARES,cerveja,picanha,salsicha,castanhas,,,,,,,,,,,,,,
DAVI NETO,catchup,carne moída,salsicha,morango,,,,,,,,,,,,,,
WEMERSON SILVA,cogumelo,filé de frango,feijão,salada,refrigerante,sabão,massa de pizza,,,,,,,,,,,
MAYCON OLIVEIRA,cerveja artesanal,maionese,,,,,,,,,,,,,,,,
FILIPE NÁPOLES,sorvete,catchup,mel,peixe,bolo,,,,,,,,,,,,,
DANIEL CRUZ,molho pesto,refrigerante,,,,,,,,,,,,,,,,
PEDRO SANTOS,cereal,cerveja artesanal,catchup,manga,azeite,tomate,pepino,,,,,,,,,,,
MAYCON CARDOSO,maçã,vinho tinto,queijo,presunto,pão,molho de tomate,,,,,,,,,,,,
DAVI OLIVEIRA,tomate,biscoito,atum enlatado,queijo ralado,whisky,,,,,,,,,,,,,
GUSTAVO RODRIGUES,leite,uva,hambúrguer,batata frita,cerveja,catchup,mostarda,palmito,sardinha enlatada,,,,,,,,,
SERGIO DEMARQUE,vinho,queijo,presunto,manteiga,detergente,,,,,,,,,,,,,
GABRIEL NETO,alho,sardinha enlatada,,,,,,,,,,,,,,,,
SÁVIO OLIVEIRA,iogurte,nutella,,,,,,,,,,,,,,,,
LUIZ CARDOSO,açúcar,cebola,,,,,,,,,,,,,,,,
PEDRO SOARES,milho verde,sardinha enlatada,açúcar,café,sorvete,palmito,kiwi,,,,,,,,,,,
SERGIO MASSI,açúcar,tempero pronto,vinho tinto,queijo,,,,,,,,,,,,,,
MAYCON SILVA,biscoito,energético,,,,,,,,,,,,,,,,
SÁVIO COSTA,suco de laranja,pão,,,,,,,,,,,,,,,,
ALYSON SOARES,vinho tinto,presunto,pão,,,,,,,,,,,,,,,
GABRIEL RODRIGUES,bolo,nhoque,abacaxi,banana,nutella,molho branco,,,,,,,,,,,,
JOÃO LIMA,granola,nhoque,pepino,azeite,castanhas,arroz,feijão,frango,,,,,,,,,,
LUIZ BANDEIRA,macarrão,azeite,sopa pronta,morango,cebola,,,,,,,,,,,,,
PEDRO SANTOS,espumante,alface,café,,,,,,,,,,,,,,,
MAYCON OLIVEIRA,tomate,farinha de mandioca,nutella,uva,banana,,,,,,,,,,,,,
JOÃO NÁPOLES,água de coco,vinho,,,,,,,,,,,,,,,,
OTÁVIO CARDOSO,água de coco,azeite,alface,,,,,,,,,,,,,,,
GUSTAVO SILVA,morango,kiwi,molho pesto,molho de tomate,milho verde,cebola,verduras,peito de peru,queijo,bisnaguinha,,,,,,,,
WEMERSON NÁPOLES,amendoim,hambúrguer,batata frita,cerveja,catchup,mostarda,alface,bisnaguinha,,,,,,,,,,
GUSTAVO CARDOSO,vinho tinto,queijo,presunto,pão,mel,pão,manteiga,geleia,cerveja artesanal,tomate,frutas,queijo ralado,,,,,,
DAVI SOARES,cerveja,picanha,,,,,,,,,,,,,,,,
VANESSA CARDOSO,mel,sorvete,cereal,molho pesto,alface,barra de cereal,catchup,laranja,macarrão,molho de tomate,farinha de mandioca,sardinha enlatada,pimenta,massa de pizza,,,,
DAVI NETO,laranja,nhoque,barra de cereal,,,,,,,,,,,,,,,
VANESSA SOARES,torrada,linguiça,,,,,,,,,,,,,,,,
WEMERSON COSTA,carne moída,presunto,tempero pronto,vinho branco,queijo,pão,,,,,,,,,,,,
GUSTAVO MASSI,verduras,chocolate,sorvete,leite,peito de peru,ervilha,,,,,,,,,,,,
VANESSA CARDOSO,biscoito,sorvete,desinfetante,gelatina,maionese,,,,,,,,,,,,,
GABRIEL DEMARQUE,bolo,banana,picanha,bisnaguinha,,,,,,,,,,,,,,
VANESSA MASSI,geleia,molho branco,pão,manteiga,queijo,presunto,whisky,bolo,molho branco,pepino,picanha,farinha de mandioca,,,,,,
LUIZ COSTA,torrada,mel,,,,,,,,,,,,,,,,
DAVI DEMARQUE,molho pesto,maçã,,,,,,,,,,,,,,,,
OTÁVIO BANDEIRA,óleo de soja,molho de tomate,atum enlatado,molho pesto,maionese,,,,,,,,,,,,,
FILIPE SILVA,bolo,salsicha,hambúrguer,batata frita,,,,,,,,,,,,,,
LUIZ NETO,uva,pimenta,pudim,picanha,pizza,,,,,,,,,,,,,
GABRIEL SANTOS,palmito,presunto,limão,papel higiênico,vinho,pão,presunto,batata,milho verde,água tônica,frango,arroz,feijão,,,,,
VANESSA CRUZ,milho verde,azeite,farinha de mandioca,molho de tomate,nhoque,açúcar,bisnaguinha,vinho branco,queijo,presunto,,,,,,,,
LUIZ OLIVEIRA,atum enlatado,achocolatado,água tônica,frango,feijão,salada,refrigerante,,,,,,,,,,,
ALYSON NÁPOLES,chocolate,sorvete,,,,,,,,,,,,,,,,
SERGIO LIMA,manteiga,massa de pizza,macarrão,amendoim,pudim,,,,,,,,,,,,,
JÚLIO SOARES,vinho tinto,queijo,,,,,,,,,,,,,,,,
SERGIO COSTA,massa de pizza,azeite,,,,,,,,,,,,,,,,
LUIZ SILVA,espumante,cerveja,picanha,morango,tempero pronto,batata frita,espumante,,,,,,,,,,,
JÚLIO SANTOS,maionese,laranja,,,,,,,,,,,,,,,,
OTÁVIO CRUZ,azeitona,chocolate,,,,,,,,,,,,,,,,
SERGIO DEMARQUE,energético,frango,arroz,feijão,salada,,,,,,,,,,,,,
DANIEL SOARES,sopa pronta,mostarda,,,,,,,,,,,,,,,,
SÁVIO OLIVEIRA,biscoito,palmito,batata,lasanha,patê,,,,,,,,,,,,,
SERGIO LIMA,whisky,salsicha,molho de tomate,macarrão,feijão,queijo ralado,,,,,,,,,,,,
JÚLIO SILVA,cogumelo,chocolate,sorvete,leite,farinha de trigo,granola,,,,,,,,,,,,
MAYCON OLIVEIRA,morango,laranja,palmito,tomate,papel higiênico,água tônica,desinfetante,refrigerante,suco de laranja,pão,,,,,,,,
LUIZ NETO,farinha de mandioca,vodka,energético,,,,,,,,,,,,,,,
SÁVIO CRUZ,catchup,detergente,lasanha,refrigerante,,,,,,,,,,,,,,
GUSTAVO DEMARQUE,frango,arroz,,,,,,,,,,,,,,,,
JOÃO DEMARQUE,presunto,papel higiênico,,,,,,,,,,,,,,,,
FILIPE CARDOSO,nutella,batata,,,,,,,,,,,,,,,,
OTÁVIO NÁPOLES,nhoque,iogurte,,,,,,,,,,,,,,,,
OTÁVIO BANDEIRA,geleia,mel,,,,,,,,,,,,,,,,
JOÃO SANTOS,vodka,óleo de soja,,,,,,,,,,,,,,,,
GABRIEL CRUZ,cerveja artesanal,cogumelo,amendoim,cereal,energético,suco de laranja,pão,,,,,,,,,,,
PEDRO SOARES,suco,patê,cogumelo,,,,,,,,,,,,,,,
MAYCON OLIVEIRA,linguiça,molho branco,batata frita,,,,,,,,,,,,,,,
ALYSON NÁPOLES,nhoque,manga,nhoque,,,,,,,,,,,,,,,
GABRIEL SILVA,verduras,carne moída,açúcar,água tônica,bolo,tempero pronto,,,,,,,,,,,,
LUIZ CARDOSO,molho branco,abacaxi,,,,,,,,,,,,,,,,
OTÁVIO OLIVEIRA,frango,arroz,feijão,salada,amendoim,tempero pronto,arroz,farinha de mandioca,,,,,,,,,,
OTÁVIO RODRIGUES,tomate,manteiga,,,,,,,,,,,,,,,,
DAVI NETO,molho branco,suco,lasanha,maçã,carne moída,uva,cerveja artesanal,vinagre,,,,,,,,,,
VICTOR BANDEIRA,atum enlatado,alho,patê,pepino,sopa pronta,banana,,,,,,,,,,,,
SÁVIO SANTOS,pão,queijo,,,,,,,,,,,,,,,,
DAVI SOARES,água de coco,vinho tinto,presunto,vinagre,laranja,,,,,,,,,,,,,
SÁVIO OLIVEIRA,pizza,refrigerante,manteiga,gelatina,hambúrguer,batata frita,,,,,,,,,,,,
SERGIO SANTOS,vodka,batata,,,,,,,,,,,,,,,,
FILIPE RODRIGUES,whisky,macarrão,maionese,ervilha,,,,,,,,,,,,,,
LUIZ COSTA,linguiça,cereal,,,,,,,,,,,,,,,,
WEMERSON SILVA,sardinha enlatada,sopa pronta,maçã,vinagre,massa de pizza,macarrão,geleia,kiwi,,,,,,,,,,
SÁVIO SANTOS,geleia,vinho,queijo,presunto,suco de laranja,pão,manteiga,,,,,,,,,,,
JOÃO OLIVEIRA,nhoque,filé de frango,arroz,feijão,,,,,,,,,,,,,,
SÁVIO SILVA,azeite,molho de tomate,,,,,,,,,,,,,,,,
OTÁVIO SOARES,presunto,pepino,azeitona,pepino,,,,,,,,,,,,,,
GABRIEL NÁPOLES,palmito,papel higiênico,batata frita,vinho,,,,,,,,,,,,,,
GABRIEL CARDOSO,azeite,carvão,,,,,,,,,,,,,,,,
VANESSA NETO,papel higiênico,amendoim,,,,,,,,,,,,,,,,
OTÁVIO MASSI,mel,maionese,,,,,,,,,,,,,,,,
MAYCON SILVA,papel higiênico,sabão,nhoque,,,,,,,,,,,,,,,
FILIPE MASSI,palmito,refrigerante,azeitona,macarrão,,,,,,,,,,,,,,
MAYCON CARDOSO,carvão,picanha,cerveja,salsicha,cebola,whisky,cebola,,,,,,,,,,,
DANIEL MASSI,catchup,azeitona,água de coco,queijo,massa de pizza,mostarda,verduras,,,,,,,,,,,
SERGIO COSTA,bisnaguinha,alho,salsicha,papel higiênico,água tônica,,,,,,,,,,,,,
PEDRO SILVA,feijão,molho de tomate,,,,,,,,,,,,,,,,
ALYSON COSTA,banana,maçã,gelatina,cogumelo,biscoito,,,,,,,,,,,,,
FILIPE MASSI,papel higiênico,carne moída,molho branco,cenoura,frutas,azeitona,sorvete,,,,,,,,,,,
MAYCON COSTA,sabão,vinho,queijo,presunto,pão,torrada,azeitona,,,,,,,,,,,
DANIEL CRUZ,filé de frango,arroz,feijão,desinfetante,patê,barra de cereal,queijo ralado,verduras,,,,,,,,,,
DAVI SOARES,água tônica,pizza,,,,,,,,,,,,,,,,
WEMERSON NETO,refrigerante,mostarda,,,,,,,,,,,,,,,,
ALYSON NETO,ervilha,molho branco,azeite,,,,,,,,,,,,,,,
FILIPE LIMA,ervilha,catchup,whisky,queijo,água de coco,feijão,refrigerante,,,,,,,,,,,
SÁVIO OLIVEIRA,filé de frango,arroz,feijão,salada,iogurte,macarrão,vinho branco,,,,,,,,,,,
PEDRO SOARES,biscoito,manteiga,,,,,,,,,,,,,,,,
MAYCON MASSI,alface,farinha de trigo,pimenta,amendoim,queijo ralado,mel,peito de peru,tomate,papel higiênico,batata frita,limão,nhoque,,,,,,
SÁVIO SANTOS,farinha de trigo,pudim,,,,,,,,,,,,,,,,
MAYCON LIMA,whisky,carne moída,biscoito,,,,,,,,,,,,,,,
DANIEL OLIVEIRA,molho pesto,açúcar,cereal,desinfetante,pudim,amendoim,bolo,,,,,,,,,,,
WEMERSON OLIVEIRA,morango,maçã,cogumelo,,,,,,,,,,,,,,,
VANESSA COSTA,vodka,sorvete,,,,,,,,,,,,,,,,
DAVI NÁPOLES,biscoito,vinagre,ervilha,whisky,azeite,manga,maçã,suco de laranja,pão,,,,,,,,,
WEMERSON DEMARQUE,farinha de trigo,pimenta,nhoque,energético,,,,,,,,,,,,,,
ALYSON SILVA,pão,manteiga,queijo,presunto,geleia,,,,,,,,,,,,,
WEMERSON LIMA,achocolatado,farinha de mandioca,picanha,morango,carvão,salsicha,vodka,iogurte,vinho tinto,,,,,,,,,
VANESSA CRUZ,bolo,granola,,,,,,,,,,,,,,,,
JOÃO COSTA,feijão,tomate,sabão,lasanha,pudim,,,,,,,,,,,,,
GUSTAVO CRUZ,salada,alface,cenoura,,,,,,,,,,,,,,,
SERGIO DEMARQUE,cenoura,alho,,,,,,,,,,,,,,,,
VICTOR SILVA,sabão,presunto,lasanha,feijão,água de coco,sorvete,whisky,sopa pronta,,,,,,,,,,
DANIEL NÁPOLES,massa de pizza,verduras,granola,chocolate,sorvete,leite,,,,,,,,,,,,
JOÃO NÁPOLES,papel higiênico,molho branco,farinha de mandioca,sorvete,lasanha,,,,,,,,,,,,,
DANIEL BANDEIRA,peito de peru,sopa pronta,frutas,palmito,kiwi,,,,,,,,,,,,,
WEMERSON NÁPOLES,mostarda,laranja,alho,mel,manga,uva,ervilha,uva,nutella,,,,,,,,,
OTÁVIO SOARES,cerveja,picanha,,,,,,,,,,,,,,,,
DAVI SOARES,lasanha,café,açúcar,,,,,,,,,,,,,,,
PEDRO NETO,maionese,alface,,,,,,,,,,,,,,,,
ALYSON OLIVEIRA,alface,achocolatado,linguiça,nutella,chocolate,,,,,,,,,,,,,
SÁVIO OLIVEIRA,bisnaguinha,arroz,frango,salada,mostarda,vodka,castanhas,ervilha,alface,,,,,,,,,
MAYCON SILVA,torrada,pizza,,,,,,,,,,,,,,,,
SERGIO LIMA,molho pesto,sopa pronta,maçã,uva,geleia,energético,água tônica,patê,cerveja artesanal,molho pesto,,,,,,,,
FILIPE CARDOSO,farinha de trigo,pão,manteiga,queijo,presunto,geleia,,,,,,,,,,,,
FILIPE CRUZ,bisnaguinha,espumante,bisnaguinha,sal,nutella,desinfetante,vinho tinto,,,,,,,,,,,
JOÃO LIMA,café,açúcar,bolo,leite,leite,picanha,pizza,,,,,,,,,,,
SÁVIO LIMA,filé de frango,arroz,feijão,lasanha,óleo de soja,granola,,,,,,,,,,,,
VICTOR LIMA,banana,peito de peru,,,,,,,,,,,,,,,,
JOÃO NETO,sabão,castanhas,,,,,,,,,,,,,,,,
OTÁVIO RODRIGUES,peito de peru,lasanha,nhoque,bisnaguinha,,,,,,,,,,,,,,
ALYSON COSTA,vinho tinto,queijo,presunto,,,,,,,,,,,,,,,
GUSTAVO MASSI,nhoque,vinho,queijo,presunto,pão,refrigerante,,,,,,,,,,,,
DANIEL OLIVEIRA,massa de pizza,sabão,,,,,,,,,,,,,,,,
WEMERSON NÁPOLES,cerveja,picanha,salsicha,palmito,vinho branco,queijo,,,,,,,,,,,,
